MONTH,HM00,HM01,HM02,HM03,HM04,HM05,HM06,HS00,HS01,HS02,HS03,MA00,MA01,MA02,MA03,MA04,MA05,MA06,MA09,MH00,MH01,MH02,MH03,MH04,MH09,OC96,OC99,SH01,SH03
Jan-2018,1,1,28,21,2,33,0,5,1,1,1,1,73,4,2,0,0,1,0,0,0,1,1,5,4,1,2036,5,0
Feb-2018,0,0,20,16,2,42,0,4,3,1,0,1,69,7,4,2,0,1,2,0,0,1,1,4,2,2,1985,1,0
Mar-2018,1,1,17,13,1,27,0,1,2,0,0,2,71,5,2,0,2,1,0,0,0,2,1,4,2,3,1974,1,0
Apr-2018,0,0,33,22,2,46,0,4,2,1,1,0,72,8,1,3,2,1,0,0,0,2,1,7,4,0,1924,2,0
May-2018,1,0,36,12,2,48,0,4,0,0,2,3,78,6,1,1,1,0,1,1,0,0,1,8,1,0,1913,1,0
Jun-2018,0,0,24,20,1,40,0,6,1,0,0,1,94,3,1,1,1,1,1,0,0,0,0,12,2,5,1901,1,0
Jul-2018,0,0,31,17,1,56,0,4,2,0,1,1,80,6,4,1,0,2,1,0,1,0,1,11,4,1,1672,1,0
Aug-2018,0,0,23,23,2,39,0,0,2,0,0,0,62,15,2,2,2,1,0,0,0,3,1,5,2,2,1621,2,0
Sep-2018,1,0,26,13,1,38,0,7,0,0,0,2,50,8,1,0,2,1,2,0,0,3,0,2,4,2,1682,2,0
Oct-2018,0,0,32,14,2,37,0,5,2,0,1,3,57,9,1,0,0,3,2,0,0,1,1,4,0,4,1691,4,0
Nov-2018,0,0,35,21,1,37,0,3,2,0,0,1,83,4,0,3,1,1,2,0,0,2,3,2,0,1,1690,4,0
Dec-2018,1,0,30,18,0,19,1,2,0,0,1,2,50,6,2,2,0,0,2,0,0,1,2,3,0,1,1710,0,0
Jan-2019,0,0,27,19,1,47,0,2,0,0,4,1,78,8,3,1,1,1,1,0,0,2,0,3,1,1,1680,3,0
Feb-2019,1,0,27,13,3,33,0,2,0,0,9,0,71,4,1,2,2,0,0,0,0,2,1,5,2,0,1711,3,0
Mar-2019,2,2,30,18,0,41,0,1,3,0,2,2,71,4,0,2,1,1,5,0,0,1,1,6,2,3,1721,5,0
Apr-2019,1,0,40,11,1,38,0,0,1,0,1,1,66,9,2,2,2,1,1,0,0,3,1,4,3,2,1752,2,0
May-2019,3,0,24,18,0,48,1,5,1,0,5,1,66,7,3,2,1,1,1,0,0,0,1,6,1,3,1764,1,0
Jun-2019,1,0,22,11,0,32,0,0,1,0,2,3,50,6,1,1,4,0,0,0,0,0,0,2,1,0,1770,1,0
Jul-2019,0,0,25,15,0,38,1,3,1,0,3,1,52,17,1,1,2,1,2,0,0,1,1,3,2,0,1714,2,0
Aug-2019,2,0,21,16,1,25,0,3,1,0,7,1,75,5,0,2,1,1,1,0,0,3,1,3,3,1,1712,1,0
Sep-2019,1,0,32,9,2,28,0,4,1,0,2,1,63,7,0,1,3,1,2,0,0,0,1,2,0,2,1737,3,0
Oct-2019,2,0,29,10,1,41,0,2,1,0,0,1,64,10,2,2,4,2,2,0,0,1,0,6,3,1,1708,3,0
Nov-2019,2,0,32,17,0,40,0,3,1,0,0,2,63,6,2,5,0,0,1,0,1,3,0,5,2,2,1682,1,0
Dec-2019,1,0,27,11,1,32,0,3,0,0,1,0,43,6,1,2,0,1,1,0,1,1,4,4,1,1,1700,3,1
Jan-2020,3,0,25,31,2,28,0,2,0,0,3,0,76,7,1,2,2,1,2,0,0,1,2,3,0,1,1601,4,1
Feb-2020,1,0,28,13,2,26,0,1,0,0,1,2,42,5,1,2,0,1,1,0,0,1,1,4,3,1,1604,1,0
Mar-2020,0,0,28,19,0,29,0,1,0,2,1,0,40,2,1,2,1,1,1,0,0,0,1,3,2,0,1598,3,0
Apr-2020,1,0,11,14,1,26,0,1,3,0,3,0,33,4,1,2,0,1,1,0,0,3,1,3,1,0,1605,3,0
May-2020,4,0,14,10,1,23,0,1,1,0,1,0,33,6,0,5,0,0,0,0,0,1,1,0,0,2,1571,1,0
Jun-2020,1,0,17,11,2,36,0,3,2,0,3,4,54,5,2,1,1,0,2,0,0,3,0,5,2,1,1552,0,0
Jul-2020,1,0,24,25,1,25,0,1,2,0,5,3,58,9,0,0,1,1,2,1,0,1,0,2,0,4,1549,3,1
Aug-2020,4,0,22,9,0,35,0,3,1,2,9,2,49,3,2,2,0,0,2,0,0,0,0,2,1,1,1536,2,0
Sep-2020,2,0,24,17,0,32,1,2,2,0,3,1,36,3,0,3,0,0,1,0,0,1,1,2,0,1,1587,1,0
Oct-2020,4,0,25,13,0,31,1,4,4,0,7,0,32,13,3,3,1,0,3,0,0,1,0,1,1,1,1614,3,0
Nov-2020,2,0,21,18,0,34,1,0,2,1,0,1,32,4,0,1,0,1,1,0,0,0,0,1,2,0,1642,2,0
Dec-2020,1,0,17,14,3,28,1,2,0,0,2,0,32,5,1,0,1,0,0,0,0,1,2,1,2,2,1682,3,0
Jan-2021,2,0,23,22,1,30,1,1,0,0,4,2,29,3,2,1,1,1,0,0,0,0,0,2,2,3,1674,1,0
