Year,Accommmodation Code,Sum of TotalOpen,Sum of CPA,Sum of Section117
2018,CH01,3,1,0
2018,CH02,13,1,0
2018,CH03,177,16,12
2018,CJ01,5,0,1
2018,CJ02,20,2,0
2018,CJ09,3,0,0
2018,CJ12,1,0,0
2018,HM01,29,0,1
2018,HM02,2,0,0
2018,HM03,33,5,5
2018,HM04,83,1,3
2018,HM05,5,0,0
2018,HM06,107,14,6
2018,HM07,83,14,16
2018,HS01,10,3,6
2018,HS02,15,7,9
2018,HS03,29,16,19
2018,HS04,37,18,19
2018,HS05,5,1,2
2018,HS09,27,13,13
2018,MA01,3380,497,267
2018,MA02,3344,309,168
2018,MA03,46,8,3
2018,MA04,2500,441,208
2018,MA05,2044,337,190
2018,MA06,2093,231,120
2018,MA09,631,51,36
2018,MH01,258,93,72
2018,MH02,5,1,1
2018,MH03,16,5,3
2018,MH04,56,16,20
2018,MH09,436,107,84
2018,ML00,25,5,4
2018,OC96,88,14,9
2018,OC97,340,27,20
2018,OC99,10097,199,142
2018,SH01,16,2,1
2018,SH02,8,1,2
2018,SH03,40,17,22
2018,SH09,52,5,6
2019,CH01,2,1,0
2019,CH02,9,1,0
2019,CH03,139,13,9
2019,CJ01,7,0,1
2019,CJ02,22,1,0
2019,CJ09,1,0,0
2019,CJ12,4,0,0
2019,HM01,30,0,1
2019,HM02,4,0,0
2019,HM03,25,5,7
2019,HM04,86,2,3
2019,HM05,4,0,0
2019,HM06,115,8,4
2019,HM07,74,15,19
2019,HS01,11,4,6
2019,HS02,14,5,9
2019,HS03,34,16,23
2019,HS04,37,18,19
2019,HS05,4,1,1
2019,HS09,28,13,14
2019,MA01,3437,423,287
2019,MA02,3358,271,194
2019,MA03,50,6,4
2019,MA04,2493,388,210
2019,MA05,2058,307,197
2019,MA06,2108,226,125
2019,MA09,584,53,36
2019,MH01,260,87,72
2019,MH02,6,1,1
2019,MH03,17,4,3
2019,MH04,50,17,21
2019,MH09,427,100,85
2019,ML00,20,3,3
2019,OC96,70,13,10
2019,OC97,312,23,20
2019,OC99,10724,178,138
2019,SH01,13,1,0
2019,SH02,9,1,2
2019,SH03,36,14,19
2019,SH09,48,3,7
2020,CH01,3,1,0
2020,CH02,12,1,0
2020,CH03,119,10,10
2020,CJ01,7,0,1
2020,CJ02,20,1,0
2020,CJ04,2,0,0
2020,CJ09,2,1,0
2020,CJ12,4,0,0
2020,HM00,1,0,0
2020,HM01,27,1,2
2020,HM02,2,0,0
2020,HM03,25,6,7
2020,HM04,73,3,3
2020,HM05,3,0,0
2020,HM06,94,5,4
2020,HM07,92,20,23
2020,HS01,9,5,5
2020,HS02,14,3,9
2020,HS03,30,14,18
2020,HS04,36,16,20
2020,HS05,4,1,1
2020,HS09,23,9,12
2020,MA01,3163,380,291
2020,MA02,3528,264,196
2020,MA03,44,7,4
2020,MA04,2357,330,212
2020,MA05,1843,280,202
2020,MA06,1896,201,120
2020,MA09,981,55,39
2020,MH01,237,77,73
2020,MH02,6,1,1
2020,MH03,14,4,3
2020,MH04,42,13,16
2020,MH09,396,93,84
2020,ML00,20,2,2
2020,OC96,60,6,9
2020,OC97,252,15,17
2020,OC99,9316,175,141
2020,SH01,8,0,1
2020,SH02,8,1,2
2020,SH03,30,10,16
2020,SH09,39,3,7
2021,CH01,2,0,0
2021,CH02,8,1,0
2021,CH03,77,6,9
2021,CJ01,3,0,0
2021,CJ02,15,1,0
2021,CJ04,2,0,0
2021,CJ09,1,1,0
2021,CJ12,3,0,0
2021,HM00,2,0,0
2021,HM01,21,1,2
2021,HM02,1,0,0
2021,HM03,16,2,7
2021,HM04,46,2,3
2021,HM05,3,0,0
2021,HM06,73,8,4
2021,HM07,68,16,20
2021,HS01,8,2,4
2021,HS02,13,1,8
2021,HS03,26,9,17
2021,HS04,31,9,18
2021,HS05,5,0,1
2021,HS09,19,4,8
2021,MA01,2464,216,272
2021,MA02,2522,152,181
2021,MA03,39,6,4
2021,MA04,1936,179,203
2021,MA05,1439,158,186
2021,MA06,1460,122,113
2021,MA09,594,38,34
2021,MH01,204,48,70
2021,MH02,3,0,1
2021,MH03,10,3,3
2021,MH04,31,4,13
2021,MH09,308,59,73
2021,ML00,9,1,2
2021,OC96,48,4,9
2021,OC97,188,5,16
2021,OC99,6358,145,138
2021,SH00,1,0,0
2021,SH01,7,0,1
2021,SH02,7,0,2
2021,SH03,25,7,14
2021,SH09,29,2,6
