For all people in contact with the trust,,,,,,,,,,,,,,,,
Month,CH00,CJ00,CJ02,HM00,HM02,HM03,HM05,HS00,MA00,MH00,ML00,NULL,OC96,OC99,SH00,SH03
201801,61,9,19,167,2,121,22,330,8163,337,4,566,434,10037,294,1
201802,48,2,10,123,1,87,28,276,7160,316,1,482,367,9103,242,1
201803,45,4,22,195,1,120,27,278,7581,275,3,520,359,9719,306,2
201804,60,21,34,162,1,123,17,293,7961,303,1,535,359,9730,295,1
201805,57,22,29,186,,99,19,296,8731,337,,608,403,10171,336,3
201806,53,12,31,163,,125,9,323,8162,276,3,534,363,10436,306,11
201807,60,9,27,218,1,101,29,285,8416,261,1,438,416,10711,303,5
201808,54,15,9,215,,96,4,283,7937,254,,344,432,9542,274,9
201809,50,6,12,167,,112,7,240,7687,250,,368,366,9596,300,11
201810,56,8,18,166,1,144,6,260,8702,287,1,445,417,11169,356,6
201811,54,5,7,176,,137,24,253,8268,291,1,329,345,10275,320,8
201812,24,1,4,111,1,101,32,242,6800,254,1,235,280,7823,264,1
201901,28,4,5,109,,127,14,227,8650,299,,370,306,10690,307,8
201902,48,2,13,138,1,140,24,219,7730,272,,391,274,9876,274,9
201903,32,3,13,142,,137,30,221,8054,261,1,367,304,10007,271,4
201904,33,3,4,131,1,108,45,253,7528,262,2,377,288,9646,276,4
201905,44,1,6,139,4,82,28,267,7916,282,1,344,295,10072,310,17
201906,41,6,8,91,2,80,29,232,7132,238,2,379,268,9225,287,7
201907,46,5,14,131,1,123,19,208,7934,308,1,392,314,10732,335,5
201908,37,7,20,179,4,92,23,241,7160,293,1,305,305,8943,308,3
201909,32,6,26,153,1,104,16,264,7458,302,1,366,295,9667,302,7
201910,52,5,24,201,,160,25,301,8318,302,4,392,324,10584,337,3
201911,37,4,20,182,1,115,24,262,7719,246,7,322,309,10212,313,7
201912,47,4,32,168,,88,20,247,6659,280,12,225,251,8061,293,5
202001,36,4,38,183,2,109,29,297,7978,300,12,287,289,10617,368,8
202002,56,1,31,144,18,82,21,271,7456,221,7,162,259,10002,317,7
202003,43,2,56,129,2,103,21,287,8190,258,5,177,250,9952,335,3
202004,29,5,50,135,9,125,16,350,8511,280,1,153,261,9003,285,7
202005,29,7,37,149,2,94,28,331,8527,285,3,118,252,8235,255,10
202006,27,5,26,160,1,103,29,327,9610,337,3,146,259,9504,287,18
202007,41,6,25,149,1,153,16,325,9487,367,13,111,254,9373,361,13
202008,23,6,26,138,1,86,16,313,8151,345,8,79,228,8191,274,18
202009,39,5,29,151,1,78,19,285,9053,344,5,97,256,8610,320,18
202010,24,6,39,161,1,117,38,292,9109,342,3,98,271,8017,351,11
202011,34,5,29,177,5,117,44,285,8993,316,,91,267,7715,343,11
202012,36,6,47,155,1,116,33,275,8182,308,1,77,223,6443,281,15
202101,37,2,24,156,1,106,23,323,8679,361,2,68,239,6879,273,18
202102,46,1,38,142,,83,31,263,8141,329,2,61,228,6205,294,9
202103,28,1,20,137,1,125,39,273,7450,315,1,30,197,5767,267,18
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
For people on CPA,,,,,,,,,,,,,,,,
Month,CH00,CJ00,CJ02,HM00,HM03,HM05,HS00,MA00,MH00,ML00,NULL,OC96,OC99,SH00,SH03,
201801,32,9,19,48,19,8,304,2791,282,,85,344,505,172,1,
201802,19,2,7,43,11,6,254,2458,266,,52,287,507,128,1,
201803,19,2,16,66,7,7,255,2561,238,,78,287,578,144,2,
201804,30,6,31,49,12,4,275,2822,229,,75,249,557,154,1,
201805,33,6,26,45,6,11,277,3085,247,,79,278,534,181,3,
201806,26,10,25,32,15,6,290,2633,209,,39,272,531,168,10,
201807,19,6,23,37,19,12,254,2737,191,,62,296,555,161,5,
201808,26,14,7,35,32,2,244,2977,181,,82,334,588,168,8,
201809,24,4,8,35,21,4,213,2641,177,,51,281,553,171,9,
201810,24,1,9,60,23,1,232,3043,224,,29,298,572,189,5,
201811,21,,3,42,32,5,223,3025,230,,27,242,597,169,5,
201812,15,,3,48,21,2,219,2546,196,1,23,209,442,144,1,
201901,17,2,4,41,41,1,195,3326,240,,47,238,577,147,8,
201902,23,2,4,49,30,4,192,2969,208,,49,216,480,158,9,
201903,18,2,6,40,23,2,203,3122,202,,58,247,466,152,4,
201904,23,1,4,62,40,10,228,3140,208,,71,227,471,156,3,
201905,27,1,3,78,21,7,236,3620,236,,84,237,526,161,14,
201906,16,1,4,47,12,6,210,3269,177,,80,213,490,142,4,
201907,15,,4,55,14,4,184,3631,251,1,96,249,540,192,4,
201908,12,2,3,87,32,8,207,3422,235,,95,227,542,190,1,
201909,11,,3,74,34,12,220,3756,237,,93,223,570,188,7,
201910,29,1,2,78,51,21,260,4169,253,,125,250,631,232,3,
201911,23,4,,94,45,17,225,3727,199,2,106,247,571,216,6,
201912,28,4,3,94,26,14,207,3387,231,12,97,199,458,200,5,
202001,20,4,1,72,24,15,262,4019,262,12,45,177,559,222,6,
202002,34,1,2,54,24,14,234,3541,180,6,28,174,436,198,6,
202003,30,2,15,65,48,14,251,4003,210,4,30,170,505,216,3,
202004,26,5,15,68,66,13,308,4255,221,1,47,137,488,173,7,
202005,24,7,2,67,36,20,284,4464,238,,25,132,463,165,10,
202006,19,5,,77,39,20,290,4809,262,,20,139,407,200,18,
202007,28,6,,64,58,12,282,4775,291,,13,134,418,265,13,
202008,16,6,,67,36,15,276,4075,269,,9,143,412,187,17,
202009,30,5,7,69,31,16,255,4572,284,,8,152,457,229,18,
202010,22,6,22,61,55,32,252,4694,281,,11,138,541,243,11,
202011,23,5,13,68,50,31,250,4439,245,,15,148,480,250,11,
202012,26,6,22,61,37,28,251,4024,250,,3,121,429,200,15,
202101,35,1,13,71,27,21,295,4192,280,,,131,374,178,16,
202102,39,1,22,58,14,21,247,3782,244,,,109,384,175,8,
202103,20,1,15,54,53,19,248,3634,255,,,107,359,168,18,
